Customer Name,Age,Satisfaction,Ticket_Count,Avg_Response_Hours,Avg_Resolution_Hours,High_Priority_Tickets,Cluster,PCA1,PCA2,Segment
Aaron Abbott,59,,1,,,0,3,-0.5608204212472517,0.42548567290777034,
Aaron Adams,53,,1,,,0,3,-0.5560375600109259,0.2716673703352278,
Aaron Aguilar,25,4.0,1,18.0,17.0,0,6,-0.28820789563909627,0.43165479048083905,
Aaron Brown,28,,1,,,0,4,-0.5361089715262347,-0.3692422237170325,
Aaron Carter,68,,1,,,1,1,0.9634448854789786,0.3616937275764834,High Value Satisfied Customers
Aaron Chavez,35,,1,21.0,,0,0,-0.5363882951255058,0.7907271271979982,Low Engagement Customers
Aaron Dixon,27,,1,20.0,,1,1,1.000880105441717,0.1896841064028572,High Value Satisfied Customers
Aaron Henry,70,2.0,2,20.0,10.5,0,5,2.0526780659642796,2.1238383790997624,
Aaron Hensley,65,,1,,,0,3,-0.5656032824835776,0.5793039754803129,
Aaron Kelly,27,3.0,1,0.0,20.0,0,4,-0.16574354061655847,-0.36599659218004904,
Aaron Martinez,45,5.0,1,12.0,7.0,1,2,0.797794305537244,-1.85216696689903,Frequent Support Users
Aaron Miller,36,,1,14.0,,0,4,-0.5410238629650759,0.10633565040186943,
Aaron Morales,24,1.0,2,1.0,20.0,0,5,2.484255710561445,0.8453114755231796,
Aaron Nelson,41,,1,,,1,1,0.984967761042445,-0.3304886339999579,High Value Satisfied Customers
Aaron Norris,26,,2,16.0,,1,5,3.629207505262084,-0.22298741491170374,
Aaron Petty,38,2.0,1,19.0,8.0,0,0,-0.656469461781058,0.8559989975033837,Low Engagement Customers
Aaron Pope,19,2.0,1,16.0,13.0,0,4,-0.4342005073549333,0.7193050139394555,
Aaron Powell,55,4.0,1,4.0,14.0,0,3,-0.44506001011922186,-0.6121263952373311,
Aaron Reed,19,4.0,1,5.0,17.0,1,6,1.2408860619061812,-1.3353060808899253,
Aaron Reese,21,,1,,,0,4,-0.5305289667505212,-0.5486969100516654,
Aaron Roberts,31,,1,9.0,,1,1,0.9916597216695939,-0.8235284251402685,High Value Satisfied Customers
Aaron Salazar,51,4.0,1,22.0,7.0,0,0,-0.7242767746758891,0.19454104944697642,Low Engagement Customers
Aaron Stephens,43,,1,10.0,,0,4,-0.5487972530551793,-0.11993986929676577,
Abigail Davis,42,,1,4.0,,0,4,-0.5512901874873768,-0.7541715621087582,
Abigail Harrison,19,1.0,1,13.0,5.0,0,4,-0.7612068558844721,-0.0484597809904882,
Abigail Jones,41,,1,5.0,,0,4,-0.5499446976193916,-0.6783753943625317,
Abigail Kennedy,31,,1,11.0,,0,4,-0.5386831842539301,-0.3261439229335337,
Abigail Lee,60,5.0,1,18.0,20.0,1,6,1.3319247224432496,0.8431810009281548,
Abigail Vaughn,29,,1,22.0,,1,1,1.0003825110201365,0.44382197694367204,High Value Satisfied Customers
Abigail Walls,35,,1,14.0,,0,4,-0.5402267194256882,0.080699266639779,
Abigail White PhD,40,,1,,,0,4,-0.5456746939988865,-0.06160561857194756,
